_id,Reporting date,Card Type,Category,Series Description,Sector,Sub-sector,ObservationType,Observation Scale,Value
1,2015-01,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,3934406
2,2015-01,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3103099
3,2015-01,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1268549
4,2015-01,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1834550
5,2015-01,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,831307
6,2015-01,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,669676
7,2015-01,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,161631
8,2015-01,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,871832
9,2015-01,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,565365
10,2015-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,215624
11,2015-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,90843
12,2015-01,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,377595
13,2015-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,209805
14,2015-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,63644
15,2015-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,146161
16,2015-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,167790
17,2015-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,135138
18,2015-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,32652
19,2015-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,3792274
20,2015-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3034730
21,2015-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1278664
22,2015-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1756066
23,2015-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,757544
24,2015-02,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,592852
25,2015-02,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,164692
26,2015-02,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,768614
27,2015-02,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,497203
28,2015-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,181193
29,2015-02,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,90218
30,2015-02,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,357488
31,2015-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,199332
32,2015-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,61786
33,2015-02,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,137546
34,2015-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,158156
35,2015-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,123509
36,2015-02,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,34647
37,2015-03,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4478225
38,2015-03,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3611538
39,2015-03,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1538207
40,2015-03,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2073331
41,2015-03,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,866687
42,2015-03,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,682722
43,2015-03,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,183965
44,2015-03,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,904265
45,2015-03,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,615594
46,2015-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,189258
47,2015-03,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,99413
48,2015-03,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,413223
49,2015-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,237041
50,2015-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,74431
51,2015-03,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,162610
52,2015-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,176182
53,2015-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,136872
54,2015-03,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,39310
55,2015-04,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4290548
56,2015-04,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3461996
57,2015-04,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1509132
58,2015-04,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,1952864
59,2015-04,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,828552
60,2015-04,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,655506
61,2015-04,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,173046
